"収支","日付","金額","項目名","内訳名","備考"
"支出","15-11-02","￥440","仕事","交通費",""
"支出","15-11-02","￥370","山・岩","ジム",""
"支出","15-11-03","￥850","交際費","--------","カフェ"
"支出","15-11-04","￥108","食費","--------",""
"支出","15-11-04","￥200","食費","--------",""
"支出","15-11-04","￥440","仕事","交通費",""
"支出","15-11-05","￥230","食費","--------",""
"支出","15-11-05","￥108","食費","--------",""
"支出","15-11-05","￥2,220","仕事","交通費",""
"支出","15-11-05","￥208","食費","--------",""
"支出","15-11-06","￥360","食費","--------",""
"支出","15-11-07","￥900","交際費","--------","コメダ"
"支出","15-11-08","￥2,000","交際費","--------","うしお"
"支出","15-11-09","￥108","食費","--------",""
"支出","15-11-09","￥430","食費","朝昼",""
"支出","15-11-09","￥130","食費","--------",""
"支出","15-11-09","￥250","食費","--------",""
"支出","15-11-10","￥9,750","生活","--------","眼鏡"
"支出","15-11-11","￥86","食費","--------",""
"支出","15-11-11","￥200","食費","--------",""
"支出","15-11-11","￥3,700","趣味","文具","ラミー2000"
"支出","15-11-11","￥1,200","山・岩","ジム",""
"支出","15-11-12","￥1,138","食費","--------",""
"支出","15-11-12","￥390","食費","朝昼",""
"支出","15-11-12","￥320","食費","--------",""
"支出","15-11-12","￥120","仕事","交通費",""
"支出","15-11-13","￥260","食費","--------",""
"支出","15-11-13","￥208","食費","--------",""
"支出","15-11-13","￥1,720","本","--------","リーダブルコード"
"支出","15-11-13","￥1,200","山・岩","ジム",""
"支出","15-11-15","￥1,000","二輪","ガソリン",""
"支出","15-11-15","￥3,334","二輪","--------","ツーリング"
"支出","15-11-16","￥108","食費","--------",""
"支出","15-11-16","￥440","仕事","交通費",""
"支出","15-11-16","￥120","食費","--------",""
"支出","15-11-16","￥100","食費","--------",""
"支出","15-11-17","￥220","仕事","交通費",""
"支出","15-11-17","￥108","食費","--------",""
"支出","15-11-17","￥208","食費","--------",""
"支出","15-11-18","￥23,333","仕事","交通費",""
"支出","15-11-18","￥130","食費","--------",""
"支出","15-11-18","￥345","食費","朝昼",""
"支出","15-11-19","￥220","仕事","交通費",""
"支出","15-11-19","￥1,138","食費","--------",""
"支出","15-11-19","￥230","食費","--------",""
"支出","15-11-19","￥2,000","仕事","交通費",""
"支出","15-11-20","￥260","食費","--------",""
"支出","15-11-20","￥200","食費","--------",""
"支出","15-11-20","￥460","食費","朝昼",""
"支出","15-11-20","￥300","山・岩","ジム",""
"支出","15-11-22","￥3,000","交際費","--------","喫茶店・夕食らーめん"
"支出","15-11-24","￥108","食費","--------",""
"支出","15-11-25","￥108","食費","--------",""
"支出","15-11-25","￥170","食費","--------",""
"支出","15-11-26","￥1,138","食費","--------",""
"支出","15-11-26","￥257","食費","--------",""
"支出","15-11-26","￥2,700","交際費","--------","ケーキ"
"支出","15-11-27","￥1,000","通信費","--------","sim"
"支出","15-11-27","￥1,000","趣味","--------","hulu"
"支出","15-11-27","￥400","趣味","--------","yahoo"
"支出","15-11-27","￥1,300","通信費","--------","au"
"支出","15-11-27","￥2,000","仕事","交通費",""
"支出","15-11-28","￥2,700","交際費","--------","ケンタッキー、こめだ"
"支出","15-11-30","￥158","食費","--------",""
"支出","15-11-30","￥462","食費","--------",""
