"収支","日付","金額","項目名","内訳名","備考"
"支出","16-02-02","￥320","食費","--------",""
"支出","16-02-02","￥430","食費","朝昼",""
"支出","16-02-03","￥108","食費","--------",""
"支出","16-02-03","￥400","食費","朝昼",""
"支出","16-02-03","￥208","食費","--------",""
"支出","16-02-04","￥249","食費","--------",""
"支出","16-02-04","￥430","食費","朝昼",""
"支出","16-02-05","￥31,000","趣味","PC","椅子"
"支出","16-02-05","￥3,000","交際費","--------","ばっくはんがー"
"支出","16-02-05","￥700","食費","--------",""
"支出","16-02-05","￥800","食費","朝昼",""
"支出","16-02-05","￥410","生活","たばこ",""
"支出","16-02-05","￥1,200","食費","--------",""
"支出","16-02-05","￥286","食費","--------",""
"支出","16-02-07","￥1,800","交際費","--------","らーめん"
"支出","16-02-08","￥820","生活","--------","ワックス"
"支出","16-02-08","￥230","食費","--------",""
"支出","16-02-08","￥430","食費","朝昼",""
"支出","16-02-09","￥200","食費","--------",""
"支出","16-02-09","￥400","食費","朝昼",""
"支出","16-02-09","￥288","食費","--------",""
"支出","16-02-09","￥880","仕事","交通費","タクシー"
"支出","16-02-10","￥250","食費","--------",""
"支出","16-02-11","￥1,300","交際費","--------","ふぉレオオムライス"
"支出","16-02-12","￥980","仕事","交通費","タクシー"
"支出","16-02-12","￥600","食費","--------",""
"支出","16-02-12","￥290","食費","--------",""
"支出","16-02-12","￥430","食費","朝昼",""
"支出","16-02-12","￥290","食費","--------",""
"支出","16-02-14","￥38,600","趣味","--------","ケータイ"
"支出","16-02-15","￥550","食費","朝昼",""
"支出","16-02-15","￥170","食費","--------",""
"支出","16-02-15","￥209","食費","--------",""
"支出","16-02-16","￥391","食費","--------",""
"支出","16-02-16","￥480","食費","朝昼",""
"支出","16-02-16","￥420","生活","たばこ",""
"支出","16-02-16","￥93","食費","--------",""
"支出","16-02-17","￥400","食費","朝昼",""
"支出","16-02-17","￥280","食費","--------",""
"支出","16-02-17","￥100","食費","--------",""
"支出","16-02-18","￥470","食費","朝昼",""
"支出","16-02-18","￥391","食費","--------",""
"支出","16-02-19","￥1,000","山・岩","--------","リーダー会"
"支出","16-02-19","￥270","食費","--------",""
"支出","16-02-19","￥1,301","食費","--------",""
"支出","16-02-19","￥400","食費","--------",""
"支出","16-02-23","￥259","食費","--------",""
"支出","16-02-23","￥345","食費","朝昼",""
"支出","16-02-23","￥203","食費","--------",""
"支出","16-02-24","￥420","食費","--------",""
"支出","16-02-24","￥402","食費","--------",""
"支出","16-02-24","￥103","食費","--------",""
"支出","16-02-25","￥130","食費","--------",""
"支出","16-02-25","￥580","食費","朝昼",""
"支出","16-02-25","￥100","食費","--------",""
"支出","16-02-26","￥1,300","交際費","--------","らっぽっぽ"
"支出","16-02-26","￥227","食費","--------",""
"支出","16-02-26","￥100","食費","--------",""
"支出","16-02-27","￥1,000","通信費","--------","sim"
"支出","16-02-27","￥1,000","趣味","--------","hulu"
"支出","16-02-27","￥400","趣味","--------","yahoo"
"支出","16-02-27","￥1,300","通信費","--------","au"
"支出","16-02-27","￥500","食費","--------",""
"支出","16-02-29","￥108","食費","--------",""
"支出","16-02-29","￥3,240","通信費","--------","FREETELシム"
"支出","16-02-29","￥430","食費","朝昼",""
"支出","16-02-29","￥208","食費","--------",""
"支出","16-02-29","￥300","食費","--------",""
